,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
113,NFO,71505,50,NIFTY,NIFTY31DEC26C26000,31-DEC-2026,OPTIDX,CE,26000.0,0.05,
114,NFO,71504,50,NIFTY,NIFTY31DEC26P25000,31-DEC-2026,OPTIDX,PE,25000.0,0.05,
115,NFO,71503,50,NIFTY,NIFTY31DEC26C25000,31-DEC-2026,OPTIDX,CE,25000.0,0.05,
116,NFO,71502,50,NIFTY,NIFTY31DEC26P24000,31-DEC-2026,OPTIDX,PE,24000.0,0.05,
117,NFO,71501,50,NIFTY,NIFTY31DEC26C24000,31-DEC-2026,OPTIDX,CE,24000.0,0.05,
118,NFO,71485,50,NIFTY,NIFTY31DEC26P9000,31-DEC-2026,OPTIDX,PE,9000.0,0.05,
119,NFO,71484,50,NIFTY,NIFTY31DEC26C9000,31-DEC-2026,OPTIDX,CE,9000.0,0.05,
120,NFO,71483,50,NIFTY,NIFTY31DEC26P8000,31-DEC-2026,OPTIDX,PE,8000.0,0.05,
121,NFO,71482,50,NIFTY,NIFTY31DEC26C8000,31-DEC-2026,OPTIDX,CE,8000.0,0.05,
122,NFO,71477,50,NIFTY,NIFTY25JUN26P26000,25-JUN-2026,OPTIDX,PE,26000.0,0.05,
123,NFO,71476,50,NIFTY,NIFTY25JUN26C26000,25-JUN-2026,OPTIDX,CE,26000.0,0.05,
124,NFO,71475,50,NIFTY,NIFTY25JUN26P25000,25-JUN-2026,OPTIDX,PE,25000.0,0.05,
125,NFO,71474,50,NIFTY,NIFTY25JUN26C25000,25-JUN-2026,OPTIDX,CE,25000.0,0.05,
126,NFO,71473,50,NIFTY,NIFTY25JUN26P24000,25-JUN-2026,OPTIDX,PE,24000.0,0.05,
127,NFO,71472,50,NIFTY,NIFTY25JUN26C24000,25-JUN-2026,OPTIDX,CE,24000.0,0.05,
128,NFO,71471,50,NIFTY,NIFTY25JUN26P9000,25-JUN-2026,OPTIDX,PE,9000.0,0.05,
129,NFO,71450,50,NIFTY,NIFTY25JUN26C9000,25-JUN-2026,OPTIDX,CE,9000.0,0.05,
